,Year,Modle,KM,Hand,CM,Color,Area,Gearbox,Price,IsNew,IsSaved,WithoutAccidents
158,2015, מאזדה 6,129000,3,1998,לבן מטאלי,אזור זכרון - בנימינה,אוטומטית,60000.0,1,1,1
159,2014, מאזדה 3,187000,2,1998,אפור,אזור מושבים בצפון,אוטומטית,57000.0,0,1,1
160,2003, מאזדה 323,230520,4,1598,לבן,אזור באר שבע והסביבה,אוטומטית,7000.0,0,0,0
161,2016, מאזדה 3,103000,2,1496,אפור עכבר,אזור זכרון - בנימינה,אוטומטית,60000.0,0,0,0
162,2016, מאזדה 3,122000,2,1998,אדום מטאלי,אזור יישובי השומרון,אוטומטית,78000.0,0,0,0
163,2015, מאזדה 2,143000,2,1498,לבן שנהב,אזור באר שבע והסביבה,אוטומטית,52000.0,0,0,0
164,2006, מאזדה MPV,260000,2,2967,כסוף,אזור רמת השרון - הרצליה,אוטומטית,NaN,0,0,0
165,2012, מאזדה 3,185000,3,1598,לבן,אזור מושבים בצפון,אוטומטית,26000.0,0,1,0
166,2013, מאזדה 5,128000,2,1999,אפור מטאלי,אזור יישובי השומרון,אוטומטית,65000.0,0,1,0
167,2001, מאזדה 323,260000,3,1598,אפור,אזור חיפה וחוף הכרמל,אוטומטית,4000.0,1,0,0
168,2008, מאזדה 3,188000,4,1598,כסוף,אזור באר שבע והסביבה,אוטומטית,NaN,0,1,0
169,2008, מאזדה 3,155000,3,1598,לבן פנינה,אזור גליל ועמקים,אוטומטית,NaN,1,0,0
170,2001, מאזדה 323,184000,2,1840,כסוף מטאלי,אזור יישובי השומרון,אוטומטית,5000.0,0,1,0
171,2012, מאזדה 3,153000,2,1598,לבן שנהב,אזור תל אביב,אוטומטית,NaN,0,0,0
172,2010, מאזדה 3,206000,3,1598,אפור,אזור מושבים בצפון,אוטומטית,NaN,0,1,0
173,2005, מאזדה MPV,178000,5,2967,אפור עכבר,אזור רמת גן - גבעתיים,אוטומטית,7000.0,0,0,0
174,2017, מאזדה 6,130,3,1998,לבן מטאלי,אזור ירושלים והסביבה,אוטומטית,NaN,1,1,0
